RespondentID,CollectorID,StartDate,EndDate,Please confirm that you are at least 18 years old. ,Please select the metro area you are located in. ,Please enter your ZIP code. ,,,Please assign grades to the state of California on six timely issues (click the skip button for issues where you don't want to assign a grade).,,,,,,Please grade the state of California on disaster preparedness (click the skip button if you don't want to assign a grade).,What issue should be included in the next report card and why is it important to Californians?,Gender,Age,Household Income,Education,Location (Census Region)
,,,,I confirm that I am at least 18 years old.,Response,Name:,ZIP Code:,Country:,"1. Implementation of the Affordable Care Act (""Obamacare"")",2. Quality of K-12 public education,3. Affordability of state colleges and universities,4. Access to state services for undocumented immigrants,5. Laws and regulations regarding recreational marijuana,6. Marriage rights for same-sex partners,How is the state of California doing on disaster preparedness?,Open-Ended Response,Response,Response,Response,Response,Response
3121646055,50956072,3/13/14 14:37,3/13/14 14:39,I confirm that I am at least 18 years old.,San Jose Metro Area,,95131,,A,B+,C,SKIP,SKIP,B,B-,,Female,> 60,"$150,000+",Some college,Pacific
3121038308,50956072,3/13/14 7:52,3/13/14 7:54,I confirm that I am at least 18 years old.,San Jose Metro Area,,95136,,F,D+,D+,F,B,D+,C+,Drought is a big issue and could be a real disaster if we do not address it.,Female,> 60,"$50,000 - $99,999",High school degree,Pacific
3120615755,50956072,3/13/14 0:27,3/13/14 0:28,I confirm that I am at least 18 years old.,San Jose Metro Area,,94089,,F,C-,F,C-,F,F,C-,water rights,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3120590864,50956072,3/13/14 0:10,3/13/14 0:13,I confirm that I am at least 18 years old.,San Jose Metro Area,,94024,,SKIP,C-,C+,SKIP,C-,B-,C,,Female,> 60,"$100,000 - $149,999",Some college,Pacific
3120543834,50956072,3/12/14 23:39,3/12/14 23:44,I confirm that I am at least 18 years old.,San Jose Metro Area,,95124,,F,F,D-,F,F,A+,C+,Healthcare cost,,,,,
3120392381,50956072,3/12/14 22:16,3/12/14 22:19,I confirm that I am at least 18 years old.,San Jose Metro Area,,95032,,B+,C,D,SKIP,C-,B+,A-,environment,Female,45-60,"$150,000+",Associate or bachelor degree,Pacific
3120129375,50956072,3/12/14 20:19,3/12/14 20:27,I confirm that I am at least 18 years old.,San Jose Metro Area,,95014,,B,B,F,D,A,A,C-,"More focus on access to universities. School keeps getting more and more expensive and fewer and fewer students are able to get the financial aid they need. This is a huge problem because it is oppressing the lower and middle classes. It seems that officials are intent on making the rich richer and immobilizing the poor. Education is important - we need to treat it as such and put more money towards it. Perhaps legalize recreational marijuana, put a high tax on it, and give that money to schools.",Female,18-29,"$150,000+",Some college,Pacific
3120118855,50956072,3/12/14 20:14,3/12/14 20:17,I confirm that I am at least 18 years old.,San Jose Metro Area,,95123,,B,B,A-,SKIP,B+,A-,B,More detail around the current issues.,Male,30-44,"$100,000 - $149,999",Some college,Pacific
3120036653,50956072,3/12/14 19:41,3/12/14 19:43,I confirm that I am at least 18 years old.,San Jose Metro Area,,94087,,B,C,B,SKIP,SKIP,B,SKIP,Water Conservation,Female,45-60,"$25,000 - $49,999",Associate or bachelor degree,Pacific
3119921063,50956072,3/12/14 18:55,3/12/14 18:57,I confirm that I am at least 18 years old.,San Jose Metro Area,,95120,,D,D,D+,B,B,B,SKIP,,Male,> 60,"$150,000+",Graduate degree,Pacific
3119679494,50956072,3/12/14 17:22,3/12/14 17:24,I confirm that I am at least 18 years old.,San Jose Metro Area,,94087,,C+,B+,D+,A-,SKIP,B,B+,Environmental issues. Including how animals are raised and slaughtered for food.,Female,30-44,"$150,000+",Associate or bachelor degree,Pacific
3119525151,50956072,3/12/14 16:22,3/12/14 16:23,I confirm that I am at least 18 years old.,San Jose Metro Area,,95037,,C+,C+,C+,C+,C+,C+,B-,,Female,30-44,"$0 - $24,999",Associate or bachelor degree,Pacific
3119426497,50956072,3/12/14 15:46,3/12/14 15:48,I confirm that I am at least 18 years old.,San Jose Metro Area,,95112,,A-,B+,B+,SKIP,SKIP,B+,B+,,Female,30-44,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3119401953,50956072,3/12/14 15:38,3/12/14 15:41,I confirm that I am at least 18 years old.,San Jose Metro Area,,95124,,B+,B,C,SKIP,C,B,B,protecting the environment-we have a beautiful state and want to keep it healthy for the future,Female,> 60,"$25,000 - $49,999",Associate or bachelor degree,Pacific
3119385148,50956072,3/12/14 15:32,3/12/14 15:36,I confirm that I am at least 18 years old.,San Jose Metro Area,,95129,,A-,C,C,B,C,A,B,Pre K education; success in school and beyond is correlated with availability and participation in early childhood education.  we need better access,Male,> 60,"$150,000+",Graduate degree,Pacific
3119354110,50956072,3/12/14 15:20,3/12/14 15:21,I confirm that I am at least 18 years old.,San Jose Metro Area,,94043,,B+,B,B,C+,C,A,B,,Female,18-29,"$150,000+",Some college,Pacific
